61254926,990308,13971
62383971,74506254,58692
62383971,80657702,118009
72124177,80327465,170240
56297599,79019296,182837
50932801,22136171,271826
81140219,42496259,319729
12172638,1068327,349524
12459831,42717437,428499
89229112,13401699,519563
28321054,31848144,536877
75406477,17525716,600349
51487447,74312172,655300
75406477,74602993,918964
29465572,77484505,983993
78089605,55934661,1040315
25012099,41049342,1075009
50932801,88759583,1091527
87942210,22291941,1227689
72099783,94940211,1255359
50932801,54785305,1262951
16718394,6726047,1307425
95805007,13401699,1433091
44495100,42496259,1495775
29525267,15002322,1510117
72099783,39547039,1531665
12459831,74602993,1595011
23083275,4146319,1613793
53528406,80327465,1659385
75406477,31837256,1746800
3670053,1068327,1784161
12172638,58567151,1805551
72099783,8028529,1814756
97216500,12520485,1850364
12459831,81774775,1865778
92308081,74602993,1867357
91758832,9476304,1932233
72124177,91188621,2006216
92308081,63165286,2027058
72124177,35289976,2050520
39475554,58567151,2059134
14022542,39547039,2287419
89281419,42496259,2379132
87310756,35289976,2427464
59727583,79306848,2430748
12459831,13207079,2475883
71470219,42632811,2514865
87364286,73754810,2599914
53528406,40098339,2629971
38363885,91255308,2719021
64020189,22291941,2789810
82469258,77740420,2800042
42205546,32717271,2856085
2569929,43719099,2869107
94855613,32717271,3001235
86747354,24863236,3013920
33660626,31837256,3042459
89281419,41049342,3051436
3670053,81774775,3052941
92308081,32639190,3055622
87364286,42496259,3058625
96294494,58567151,3088118
50984542,990308,3109541
77949250,66743538,3147876
38363885,98521630,3280446
86747354,552177,3371782
13341910,36536087,3402536
1139907,85004946,3430485
14022542,43719099,3521618
14022542,3047711,3542627
78089605,26839583,3644236
22134589,96750094,3752136
14022542,79306848,3766888
89281419,14569551,3854466
59727583,81272357,3944566
25935642,15002322,3976527
13341910,32717271,4086124
29525267,94940211,4088125
37887177,30302234,4150803
62383971,92037391,4165121
63984148,15002322,4195563
93696283,1068327,4236557
54667287,55934661,4259381
89229112,85445535,4281721
93696283,49064791,4324863
71047097,77156158,4329711
50932801,21615518,4381763
37887177,91255308,4395138
92308081,47797699,4406924
12459831,92728452,4431247
59373987,68156523,4437766
37887177,96615623,4489413
79628097,89237218,4519758
85547759,73754810,4599870
72124177,3916587,4634857
16718394,80327465,4669051
68089859,94940211,4675402
90937103,55934661,4770626
31241511,74602993,4814686
91758832,43719099,4871411
79628097,55934661,4959812
11416468,77740420,5050106
72124177,74506254,5129038
87364286,15002322,5154566
29525267,81272357,5190312
5869828,24586665,5316348
59727583,39547039,5481610
7976387,20418158,5481615
6159943,22136171,5556878
18262850,58567151,5581735
3670053,94723552,5592955
96294494,20418158,5599446
18262850,12520485,5634925
87364286,81272357,5648761
62383971,1900023,5682646
27495083,41049342,5687443
86747354,40516706,5696904
93404901,24586665,5700458
87942210,77740420,5734892
16718394,46510294,5760363
39475554,84317715,5845753
89281419,3047711,5863571
85547759,89237218,5902708
86711937,58870997,5916282
12740731,11520620,5947075
72124177,62442147,5953585
89281419,1523245,6146018
75406477,74734160,6160980
85547759,42632811,6202346
79628097,97238990,6208830
50932801,94723552,6233587
93696283,77484505,6233666
31241511,11520620,6249741
1139907,81272357,6446756
26793261,80657702,6453084
16718394,77156158,6455460
12172638,13207079,6515950
12459831,48293037,6624594
27190850,21615518,6665197
35035739,74506254,6690909
